V,V_err,C,C_err,C_mobile,V_abs,1_C2,1_C2_err,1_C2_F,1_C2_err_F,derivative_sigmoid,derivative,derivative2_C,derivative2_V,derivative_err,NB,NB_err,W,W_err
-23.5,0.1,74.6,0.2,73.72,24.1,0.00018400488245915312,9.63481785771868e-07,1.840048824591531e+20,9.634817857718679e+17,1.4319421427909772e+21,1.4319421427909772e+21,24.311745725207057,5.052883367592536e+21,5.05830983125026e+20,8.416211363286635e+19,2.9730115071421022e+19,1.924405706538275e-05,3.399198731633338e-06
-23.6,0.1,70.7,0.2,69.16,24.200000000000003,0.00020906918718248662,1.1318835544345706e-06,2.0906918718248662e+20,1.1318835544345706e+18,2.0232131887580953e+21,2.0232131887580953e+21,22.85120370625716,7.116905395536153e+21,7.121603872925884e+20,5.956627705221712e+19,2.096701581958528e+19,2.292207272443067e-05,4.034502419559337e-06
-23.7,0.1,64.5,0.2,63.58,24.3,0.0002473767917624716,1.4906677213140795e-06,2.4737679176247162e+20,1.4906677213140795e+18,2.855323221898194e+21,2.855323221898194e+21,20.493702214823553,9.999384429278353e+21,1.0004049926898432e+21,4.220722768371801e+19,1.4787930479659708e+19,2.728702287013563e-05,4.780537039016985e-06
-23.8,0.1,57.8,0.2,56.739999999999995,24.400000000000002,0.0003106142222300635,2.0714596403639494e-06,3.1061422223006355e+20,2.0714596403639493e+18,4.0230900746137706e+21,4.0230900746137706e+21,17.375537106575006,1.4000507204196708e+22,1.400513297301203e+21,2.9955898352296825e+19,1.042821144863941e+19,3.2456386818828164e-05,5.649730736659342e-06
-23.9,0.1,50.3,0.2,49.06,24.5,0.00041547501507758827,3.143084349689602e-06,4.1547501507758824e+20,3.143084349689602e+18,5.655424662737509e+21,5.655424662737509e+21,14.390625574354567,1.950657396111427e+22,1.95118172291675e+21,2.1309677791539868e+19,7.352065725860314e+18,3.8560355778380854e-05,6.6523321312823606e-06
-24.0,0.1,40.4,0.2,40.839999999999996,24.6,0.0005995543153041756,6.066188424547779e-06,5.995543153041757e+20,6.066188424547779e+18,7.924404866836633e+21,7.924404866836633e+21,11.253487864256734,2.699057691748064e+22,2.6999208580633387e+21,1.520811712203357e+19,5.181551589001506e+18,4.5737904247399126e-05,7.792226219251975e-06
-24.1,0.1,32.3,0.2,32.67999999999999,24.700000000000003,0.0009363450184197797,1.1870046611002287e-05,9.363450184197797e+20,1.1870046611002288e+19,1.1053540046233714e+22,1.1053540046233714e+22,8.294199176342945,3.6984197135897176e+22,3.699729892667129e+21,1.0902867030216956e+19,3.649298134240067e+18,5.412832032057022e-05,9.059306485258446e-06
-24.2,0.1,23.4,0.2,24.88,24.8,0.001615471304060132,3.1218527821639814e-05,1.6154713040601319e+21,3.1218527821639815e+19,1.5321244294016e+22,1.5321244294016e+22,5.619886466699109,4.99910473310474e+22,5.002182417096429e+21,7.865893593533645e+18,2.5681096047592556e+18,6.385548950696162e-05,1.0424778846075031e-05
-24.3,0.1,17.0,0.2,18.44,24.900000000000002,0.0029408858418697443,8.141664970486465e-05,2.9408858418697444e+21,8.141664970486465e+19,2.105174951244321e+22,2.105174951244321e+22,3.808482724979843,6.6295469302591366e+22,6.636794280856135e+21,5.724715528561202e+18,1.8047791827005184e+18,7.500136195791847e-05,1.182345906066978e-05
-24.4,0.1,11.3,0.2,13.26,25.0,0.0056873892380945885,0.0002772200649110782,5.687389238094589e+21,2.772200649110782e+20,2.8580338154534162e+22,2.8580338154534162e+22,2.446791767499298,8.561406962593039e+22,8.588234961891729e+21,4.2167197842669706e+18,1.267101182635829e+18,8.756470021976503e-05,1.315752178606264e-05
